,Title,Published_date,Views,Likes,Comments,Month,Year
0,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21 12:00:53+00:00,4602,203,13,May,2024
1,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14 12:00:28+00:00,2474,59,8,May,2024
2,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07 15:16:53+00:00,29055,1262,36,May,2024
3,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07 12:00:30+00:00,1909,55,11,May,2024
4,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30 12:00:07+00:00,5137,191,31,Apr,2024
5,MySQL Exploratory Data Analysis | Full Project,2024-04-23 12:00:21+00:00,24790,665,40,Apr,2024
6,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18 18:35:41+00:00,5046,232,14,Apr,2024
7,Data Cleaning in MySQL | Full Project,2024-04-16 12:00:05+00:00,48071,1496,199,Apr,2024
8,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09 12:00:08+00:00,7414,239,75,Apr,2024
9,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02 12:00:19+00:00,12134,473,17,Apr,2024
10,How to give up on the job search fast,2024-03-27 12:19:35+00:00,8429,546,16,Mar,2024
11,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26 12:00:12+00:00,12212,330,19,Mar,2024
12,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19 12:00:56+00:00,10699,309,14,Mar,2024
13,CTEs in MySQL | Advanced MySQL Series,2024-03-12 12:00:23+00:00,17736,410,22,Mar,2024
14,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05 13:00:01+00:00,17062,633,50,Mar,2024
15,#DataAnalyst #AnalystBuilder #SQL,2024-03-01 13:43:29+00:00,9798,684,14,Mar,2024
16,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29 17:10:18+00:00,5361,188,7,Feb,2024
17,Window Functions in MySQL | Intermediate MySQL,2024-02-27 13:00:08+00:00,20982,671,45,Feb,2024
18,Twitter making me tear up over here 🥹,2024-02-23 13:34:27+00:00,4970,241,11,Feb,2024
19,Subqueries in MySQL | Intermediate MySQL,2024-02-20 13:00:32+00:00,18150,404,22,Feb,2024
20,Case Statements in MySQL | Intermediate MySQL,2024-02-13 13:00:19+00:00,16188,387,23,Feb,2024
21,We did our best,2024-02-08 13:59:09+00:00,4692,183,5,Feb,2024
22,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06 13:00:35+00:00,56421,755,41,Feb,2024
23,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30 17:30:05+00:00,13021,472,10,Jan,2024
24,String Functions in MySQL | Intermediate MySQL Series,2024-01-30 13:00:17+00:00,16483,383,17,Jan,2024
25,Unions in MySQL | Intermediate MySQL,2024-01-23 13:00:41+00:00,15549,378,21,Jan,2024
26,Joins in MySQL | Intermediate MySQL,2024-01-16 13:00:42+00:00,40311,578,37,Jan,2024
27,Is my background in Data Analytics?,2024-01-15 14:22:09+00:00,12914,853,16,Jan,2024
28,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11 13:00:16+00:00,11958,377,16,Jan,2024
29,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09 13:00:24+00:00,18967,397,29,Jan,2024
30,Hard Skills vs Soft Skills,2024-01-08 13:06:02+00:00,8062,581,3,Jan,2024
